sample_id	subpopulation	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
S_00001	indica	0.189451	-0.031259	-0.002226	0.01404	-0.002552	-0.029947	0.006646	-0.005347	-0.004339	0.002318
S_00002	indica	0.211783	0.048038	0.013133	0.00221	-0.014766	-0.020293	0.004927	0.026222	0.000833	-0.002126
S_00003	indica	0.229552	-0.107244	-0.006246	0.009807	0.017468	-0.004813	0.007532	0.004964	0.015647	-0.022264
S_00004	indica	0.231716	-0.110862	-0.052399	-0.012138	-0.018316	0.01752	0.013285	-0.024381	0.016947	-0.020044
S_00005	indica	0.192883	-0.038438	0.002288	0.016373	0.012768	0.006998	0.012999	0.00957	-0.01254	-0.014347
S_00006	indica	0.170115	0.008627	-0.005002	0.046715	-0.016386	-0.021977	0.015369	0.028437	0.010114	0.016716
S_00007	indica	0.28263	-0.026579	-0.028459	-0.010642	0.019058	-0.028874	0.000671	0.005065	-0.006312	0.014473
S_00008	indica	0.23246	0.116737	0.012399	-0.012188	-0.011236	-0.016632	0.019045	-0.011337	-0.001405	0.014986
S_00009	indica	0.155075	-0.038424	-0.036826	-0.02165	-0.011355	0.008315	0.02387	-0.000369	0.005227	0.003359
S_00010	indica	0.262361	0.032006	0.005474	-0.020219	0.018068	0.007621	0.024539	-0.000598	0.039062	-0.007178
S_00011	indica	0.292522	-0.01417	-0.010325	-0.022569	-0.003021	0.028466	0.016327	0.013778	-0.047517	0.014219
S_00012	indica	0.230981	-0.053629	-0.012548	-4.6e-05	0.034498	-0.021102	-0.008556	0.027236	-0.008923	-0.007285
S_00013	indica	0.203801	-0.09465	0.004399	-0.024192	0.017704	6.4e-05	0.045669	0.005617	0.027314	-0.026065
S_00014	indica	0.190753	-0.001827	0.034914	-0.033618	0.019812	0.011827	0.030671	0.014248	0.001041	-0.010433
S_00015	indica	0.123941	-0.009405	-0.003834	0.040405	-0.01222	0.006408	-0.03138	-0.007909	0.005223	0.016479
S_00016	indica	0.283921	-0.023619	-0.022345	0.009157	0.01034	0.009833	-0.014006	0.022668	0.001758	0.013996
S_00017	indica	0.273595	0.01515	0.00573	0.043056	0.004874	-0.005919	0.002239	0.029655	0.002374	0.010388
S_00018	indica	0.268947	-0.05143	-0.034531	0.005988	0.004595	-0.01216	0.017422	0.012151	-0.0199	0.010364
S_00019	indica	0.186364	-0.108993	0.009059	-0.000904	-0.014906	0.010459	0.009762	-0.011551	0.008007	0.020301
S_00020	indica	0.155715	0.001599	5.5e-05	0.04532	-0.037246	0.013906	-0.006125	-0.002004	0.038032	-0.000171
S_00021	indica	0.330963	-0.047234	0.00701	-0.009817	-0.013814	0.00125	-0.005651	0.00405	-0.042101	0.040049
S_00022	indica	0.188092	0.082412	-0.020142	0.005851	0.063299	-0.017395	-0.029906	-0.01093	0.00945	0.013867
S_00023	indica	0.274562	-0.036249	-0.032045	-0.008701	0.024804	0.009313	-0.039139	-0.000701	0.027963	0.042531
S_00024	indica	0.231327	-0.002648	-0.024804	-0.016865	0.000938	0.010064	0.011604	-0.009564	-0.023039	-0.015556
S_00025	indica	0.129353	0.017176	-0.046246	-0.006666	0.008998	0.03044	0.001426	0.020026	-0.00798	-0.014888
S_00026	indica	0.157986	0.069622	0.019884	0.009748	0.066605	-0.000647	0.012407	0.006152	-0.004438	0.046323
S_00027	indica	0.287392	-0.104036	-0.007997	0.008567	0.015664	-0.026969	-0.045111	-0.038127	-0.001422	-0.002064
S_00028	indica	0.218483	-0.066667	-0.024485	-0.040461	0.006584	0.007401	0.01986	0.015816	-0.003814	0.026985
S_00029	indica	0.189909	-0.06021	-0.010412	-0.011696	-0.043315	0.003127	0.004998	-0.007245	-0.014277	0.007436
