# Folded SFS -- aus (n=241 chromosomes)
# Source: 3K RGP WGS panel, biallelic SNPs, MAF > 0.00
# frequency_bin	count
1	38020
2	19365
3	13309
4	10551
5	8278
6	6633
7	6143
8	5387
9	4386
10	3969
11	3746
12	3277
13	3129
14	2934
15	2747
16	2420
17	2099
18	2132
19	2024
20	2030
21	1917
22	1861
23	1660
24	1850
25	1586
26	1372
27	1496
28	1498
29	1304
30	1350
31	1277
32	1177
33	1223
34	1176
35	1094
36	1143
37	1172
38	1051
39	1022
40	1002
41	1022
42	942
43	924
44	882
45	975
46	865
47	932
48	907
49	830
50	744
