# Folded SFS -- indica (n=1306 chromosomes)
# Source: 3K RGP WGS panel, biallelic SNPs, MAF > 0.00
# frequency_bin	count
1	111175
2	54814
3	34840
4	28186
5	20846
6	16954
7	14472
8	12038
9	11223
10	9837
11	9383
12	7513
13	7492
14	6352
15	5658
16	5678
17	5782
18	4881
19	4582
20	4394
21	4003
22	4504
23	3694
24	3807
25	3519
26	3055
27	3093
28	3113
29	2868
30	2993
31	2639
32	2683
33	2674
34	2441
35	2460
36	2387
37	2220
38	2071
39	2189
40	2056
41	2016
42	1660
43	1940
44	1820
45	1766
46	1915
47	1790
48	1751
49	1645
50	1649
