# Folded SFS -- temperate_japonica (n=396 chromosomes)
# Source: 3K RGP WGS panel, biallelic SNPs, MAF > 0.00
# frequency_bin	count
1	50351
2	28160
3	21620
4	16129
5	12630
6	11277
7	10209
8	9746
9	8523
10	7593
11	7574
12	6750
13	6058
14	5819
15	5211
16	5506
17	5083
18	4736
19	4767
20	4719
21	4329
22	4491
23	3799
24	4016
25	3924
26	3516
27	3829
28	3635
29	3374
30	2999
31	3161
32	3248
33	2904
34	2874
35	2896
36	2666
37	2673
38	2859
39	2624
40	2639
41	2413
42	2485
43	2540
44	2304
45	2141
46	2499
47	2506
48	2254
49	2294
50	2263
