# Folded SFS -- tropical_japonica (n=484 chromosomes)
# Source: 3K RGP WGS panel, biallelic SNPs, MAF > 0.00
# frequency_bin	count
1	56415
2	30389
3	19398
4	14830
5	12181
6	10024
7	8572
8	7839
9	6733
10	6486
11	5724
12	5589
13	4984
14	4816
15	3788
16	3826
17	3404
18	3444
19	3237
20	3021
21	2697
22	2681
23	2521
24	2674
25	2351
26	2307
27	2203
28	2111
29	1999
30	2011
31	1863
32	1715
33	1799
34	1678
35	1678
36	1708
37	1528
38	1673
39	1564
40	1529
41	1452
42	1412
43	1455
44	1273
45	1381
46	1286
47	1319
48	1237
49	1203
50	1176
