# Imputation QC summary -- Beagle 5.4 with 3K indica reference panel
# 480 GBS samples imputed per chromosome
# chr	n_variants	mean_DR2	median_DR2	frac_DR2_gt_0.8	frac_DR2_gt_0.3
chr01	1389741	0.789	0.817	0.662	0.928
chr02	1254030	0.815	0.803	0.594	0.833
chr03	1207684	0.855	0.858	0.666	0.872
chr04	1541889	0.782	0.79	0.673	0.845
chr05	1194542	0.805	0.832	0.566	0.896
chr06	1561907	0.814	0.811	0.611	0.928
chr07	1379322	0.861	0.876	0.647	0.848
chr08	876809	0.842	0.847	0.678	0.921
chr09	1018705	0.856	0.857	0.705	0.863
chr10	1404190	0.83	0.834	0.628	0.877
chr11	1299374	0.829	0.837	0.611	0.881
chr12	875395	0.801	0.82	0.565	0.848
